,location,total_sqft,bath,price,bhk,encoded_loc
1788,Gollarapalya Hosahalli,1408.0,3,62.0,3,81
1789,Thigalarapalya,2072.0,4,150.0,3,210
1790,Electronics City Phase 1,2040.0,3,137.0,3,76
1791,Sarjapur  Road,1220.0,3,56.0,3,194
1792,others,1300.0,2,79.0,2,230
1793,Electronics City Phase 1,1150.0,2,39.0,2,76
1794,KR Puram,1470.0,2,86.0,2,115
1795,Hosa Road,1063.0,2,31.9,2,101
1796,others,1311.0,2,48.0,2,230
1797,others,1400.0,2,55.0,3,230
1798,Vidyaranyapura,1060.0,2,55.0,2,219
1799,Sector 7 HSR Layout,1760.0,3,145.0,3,197
1800,Whitefield,2010.0,3,92.0,3,224
1801,Kanakpura Road,1480.0,2,64.23,3,127
1802,8th Phase JP Nagar,1230.0,2,43.5,3,7
1803,Gottigere,1300.0,3,65.0,3,82
1804,Singasandra,1100.0,2,52.0,2,201
1805,Harlur,1752.12,3,116.0,3,91
1806,Marathahalli,957.0,2,46.9,2,161
1807,Balagere,1113.0,1,41.9,1,25
1808,others,1942.0,3,102.0,3,230
1809,others,1000.0,2,53.0,2,230
1810,Yeshwanthpur,668.0,1,36.85,1,229
1811,Uttarahalli,1089.0,2,43.55,2,216
1812,Thanisandra,1800.0,3,90.0,3,209
1813,Yelahanka,1036.0,2,39.35,2,226
1814,Marathahalli,1583.0,3,105.0,3,161
1815,7th Phase JP Nagar,3300.0,4,150.0,4,6
1816,Padmanabhanagar,1100.0,2,65.0,2,178
1817,Vittasandra,1246.0,2,65.0,2,223
1818,Dodda Nekkundi,850.0,2,28.0,2,67
1819,Raja Rajeshwari Nagar,1196.0,2,51.51,2,184
1820,Thanisandra,1697.0,3,114.0,3,209
1821,TC Palaya,1000.0,2,64.0,2,207
1822,HRBR Layout,1567.0,3,90.0,3,88
1823,others,950.0,2,45.0,2,230
1824,others,1022.0,2,52.0,2,230
1825,Bharathi Nagar,1322.0,2,68.0,2,42
1826,others,1800.0,4,145.0,4,230
1827,Doddakallasandra,1460.0,2,58.39,3,69
1828,others,990.0,2,44.55,2,230
1829,Whitefield,1635.0,2,85.0,3,224
1830,Padmanabhanagar,3400.0,3,210.0,4,178
1831,EPIP Zone,4390.0,5,200.0,4,73
1832,others,1533.0,3,85.0,3,230
1833,Akshaya Nagar,1720.0,3,134.0,3,11
1834,Yeshwanthpur,1185.0,2,75.84,2,229
1835,Varthur Road,900.0,2,27.0,2,218
1836,Electronic City Phase II,1031.0,2,56.35,2,75
1837,Hennur,1259.0,2,57.0,2,95
1838,Raja Rajeshwari Nagar,1570.0,3,88.0,3,184
1839,Whitefield,1216.0,2,79.0,2,224
1840,Sarjapur  Road,1428.0,2,66.0,3,194
1841,Begur Road,1160.0,2,40.59,2,39
1842,others,1475.0,3,70.0,3,230
1843,Harlur,1754.0,3,135.0,3,91
1844,Rayasandra,1639.0,3,83.0,3,189
1845,Hennur Road,1804.0,3,102.0,3,96
1846,Whitefield,1200.0,3,56.2,3,224
1847,others,1135.0,2,55.0,2,230
1848,Begur Road,1260.0,2,46.62,2,39
1849,Hennur Road,2160.0,3,160.0,3,96
1850,Rachenahalli,1220.0,2,59.5,2,183
1851,Margondanahalli,1200.0,2,67.0,2,162
1852,Yelahanka,1300.0,2,65.0,2,226
1853,Cox Town,605.0,1,29.0,1,62
1854,Bhoganhalli,1444.0,2,75.97,2,43
1855,Amruthahalli,924.0,2,45.0,2,14
1856,Kaikondrahalli,1000.0,2,30.0,2,120
1857,Bisuvanahalli,845.0,2,29.0,2,46
1858,Kanakpura Road,700.0,2,35.0,2,127
1859,Kothanur,1187.0,2,58.0,2,146
1860,Kaggadasapura,1625.0,3,55.0,3,118
1861,Devarachikkanahalli,1200.0,2,83.0,2,66
1862,others,1452.55,2,110.0,2,230
1863,others,2357.0,3,151.0,3,230
1864,Kaval Byrasandra,1200.0,2,49.5,2,133
1865,Budigere,1139.0,2,56.85,2,52
1866,Kanakpura Road,1660.0,3,75.0,3,127
1867,Somasundara Palya,1448.0,2,68.0,2,202
1868,Kadugodi,1762.0,3,110.0,3,117
1869,Kaggadasapura,1105.0,2,38.65,2,118
1870,Yelahanka,1825.0,3,105.0,3,226
1871,Thanisandra,1185.0,2,43.0,2,209
1872,Electronic City Phase II,1320.0,2,38.12,3,75
1873,Hulimavu,1058.0,2,48.0,2,105
1874,Bellandur,1220.0,2,60.0,2,40
1875,Old Madras Road,1200.0,2,72.0,2,177
1876,Kengeri,1160.0,2,40.6,3,135
1877,others,1411.0,3,91.72,3,230
1878,Bannerghatta Road,1550.0,3,78.0,3,34
1879,Green Glen Layout,3250.0,4,230.0,4,83
1880,Haralur Road,2475.0,4,130.0,3,90
1881,Jakkur,4305.905,2,260.5,4,110
1882,7th Phase JP Nagar,2503.0,4,188.0,4,6
1883,Marathahalli,2524.0,5,190.0,4,161
1884,Kaggadasapura,1063.0,2,42.0,2,118
1885,Kanakpura Road,1077.0,2,37.7,2,127
1886,others,1200.0,3,44.0,2,230
1887,Hosakerehalli,1500.0,3,70.0,4,102
1888,Jalahalli,1045.0,2,76.77,2,111
1889,Kanakapura,1290.0,2,45.15,3,126
1890,Hoodi,1400.0,2,78.0,2,97
1891,Begur Road,1600.0,3,58.14,3,39
1892,Nagavara,1545.0,2,58.0,3,171
1893,Sarjapur  Road,1680.0,3,112.0,3,194
1894,others,1350.0,2,67.5,2,230
1895,Gottigere,950.0,2,38.0,2,82
1896,Thanisandra,1050.0,2,45.0,2,209
1897,Banashankari Stage V,1305.0,2,49.0,3,29
1898,others,1100.0,3,78.0,3,230
1899,Begur Road,1634.0,3,83.33,3,39
1900,Prithvi Layout,1352.0,2,85.0,2,181
1901,Balagere,1145.0,2,65.0,2,25
1902,others,1240.0,2,43.79,2,230
1903,Bommasandra Industrial Area,1020.0,2,39.0,2,49
1904,Raja Rajeshwari Nagar,1168.0,2,61.0,2,184
1905,Electronic City Phase II,1205.0,2,75.0,2,75
1906,CV Raman Nagar,1028.0,2,49.0,2,53
1907,others,1175.0,2,48.27,2,230
1908,Pai Layout,1550.0,2,90.0,3,179
1909,Hoodi,2400.0,5,160.0,5,97
1910,Yelahanka,1603.0,3,96.0,3,226
1911,Marathahalli,1350.0,3,72.0,3,161
1912,KR Puram,714.0,1,28.0,1,115
1913,Whitefield,1215.0,2,65.0,2,224
1914,Malleshpalya,1405.0,2,77.0,3,159
1915,KR Puram,1142.0,2,51.0,2,115
1916,others,4000.0,4,170.0,4,230
1917,Whitefield,1870.0,3,90.0,3,224
1918,Subramanyapura,1313.0,2,73.0,2,205
1919,others,1945.0,3,120.0,3,230
1920,Thanisandra,1573.0,3,95.0,3,209
1921,Sarjapur  Road,1255.0,2,92.0,2,194
1922,Benson Town,1400.0,3,91.15,4,41
1923,Kannamangala,1235.0,2,43.63,2,128
1924,Sarjapur  Road,1380.0,2,52.0,3,194
1925,others,1465.0,2,74.72,3,230
1926,Thigalarapalya,1418.0,2,103.0,2,210
1927,Anekal,351.0,1,16.0,1,17
1928,Uttarahalli,1279.0,2,48.0,2,216
1929,Rajaji Nagar,5257.5,2,424.5,4,185
1930,Uttarahalli,1845.0,2,68.27,3,216
1931,others,1360.0,2,59.27,3,230
1932,others,1150.0,2,75.0,3,230
1933,Whitefield,1260.0,2,49.5,2,224
1934,others,1200.0,3,74.0,3,230
1935,Dasanapura,965.0,2,42.5,2,63
1936,Hoodi,1350.0,2,48.0,3,97
1937,Bhoganhalli,1447.0,2,75.97,2,43
1938,others,1229.0,3,86.03,3,230
1939,Kudlu,1027.0,2,43.0,2,147
1940,Gottigere,1153.0,2,48.5,2,82
1941,Whitefield,4271.0,5,145.5,4,224
1942,Malleshpalya,1065.0,2,50.0,2,159
1943,others,1030.0,2,61.0,2,230
1944,Mallasandra,1340.0,2,61.0,2,158
1945,others,600.0,1,32.0,1,230
1946,Begur Road,1410.0,2,44.42,3,39
1947,Varthur,1055.0,2,45.35,2,217
1948,Yelahanka,1304.0,2,79.0,2,226
1949,Kammasandra,990.0,2,31.5,2,125
1950,7th Phase JP Nagar,1035.0,2,39.33,2,6
1951,Tumkur Road,998.0,1,30.09,1,214
1952,Sonnenahalli,1120.0,2,43.0,2,204
1953,Haralur Road,1300.0,2,73.0,2,90
1954,Tumkur Road,1239.0,2,82.0,2,214
1955,Hosa Road,1365.0,2,92.0,2,101
1956,Subramanyapura,1130.0,2,45.19,3,205
1957,Green Glen Layout,1776.42,3,105.0,3,83
1958,others,1107.0,2,33.0,2,230
1959,Nagavara,2319.0,3,180.0,3,171
1960,others,1520.0,3,80.0,3,230
1961,Kannamangala,1536.0,3,89.0,3,128
1962,others,3000.0,4,240.0,4,230
1963,others,1050.0,2,38.0,2,230
1964,Hoodi,1850.0,3,146.0,3,97
1965,Billekahalli,1112.0,2,62.0,2,44
1966,Marathahalli,1535.0,3,72.5,3,161
1967,Kanakpura Road,1050.0,2,35.0,2,127
1968,7th Phase JP Nagar,1250.0,3,65.0,3,6
1969,Kalena Agrahara,1187.0,2,52.0,2,121
1970,9th Phase JP Nagar,1164.0,2,56.0,2,8
1971,Electronic City Phase II,1395.0,2,62.78,3,75
1972,Arekere,2072.0,3,108.0,3,20
1973,Kanakpura Road,1450.0,3,60.91,3,127
1974,Bannerghatta Road,1550.0,3,82.0,3,34
1975,others,1315.0,2,90.0,2,230
1976,others,1210.0,2,72.0,2,230
1977,Bisuvanahalli,1075.0,2,47.0,3,46
1978,others,1215.0,3,42.2,3,230
1979,Kaggadasapura,1470.0,2,75.0,3,118
1980,others,30000.0,4,2100.0,4,230
1981,Hosur Road,1590.0,2,125.0,3,104
1982,Kanakpura Road,1050.0,2,36.75,2,127
1983,Raja Rajeshwari Nagar,1306.0,2,55.91,2,184
1984,others,1445.0,3,64.0,3,230
1985,Sarjapur  Road,1220.0,3,58.0,3,194
1986,Sarjapur,3190.0,3,160.0,4,193
1987,Ramagondanahalli,1215.0,2,51.26,2,187
1988,Budigere,1920.0,2,88.0,3,52
1989,Dodda Nekkundi,1390.0,2,60.0,2,67
1990,Hoodi,1196.0,2,71.74,2,97
1991,Bannerghatta Road,1550.0,2,75.0,3,34
1992,Thigalarapalya,1418.0,2,101.0,2,210
1993,Varthur Road,1655.0,3,115.0,3,218
1994,KR Puram,1115.0,2,33.45,2,115
1995,others,1170.0,2,68.0,2,230
1996,Anekal,1035.0,2,38.3,2,17
1997,Singasandra,1306.0,2,58.0,3,201
1998,Kengeri,750.0,2,22.0,2,135
1999,Thanisandra,1917.0,3,122.0,3,209
2000,Kaggadasapura,1615.0,3,58.0,3,118
2001,Marathahalli,1071.0,2,52.25,2,161
2002,5th Phase JP Nagar,1400.0,2,88.0,3,4
2003,Tumkur Road,1246.0,2,82.0,2,214
2004,Sarjapur,1215.0,2,40.0,2,193
2005,Munnekollal,1200.0,2,49.5,2,164
2006,Kodigehaali,1200.0,2,60.0,2,139
2007,Kaval Byrasandra,945.0,2,50.0,2,133
2008,Hormavu,1175.0,2,52.0,2,100
2009,Whitefield,920.0,2,63.0,2,224
2010,others,1600.0,2,110.0,2,230
2011,others,955.0,1,34.01,2,230
2012,Uttarahalli,1425.0,2,64.0,3,216
2013,Whitefield,1165.0,2,40.5,2,224
2014,Kaggadasapura,1050.0,2,48.0,2,118
2015,others,1370.0,2,75.0,3,230
2016,Electronic City,1374.0,2,72.0,3,74
2017,Harlur,1754.0,3,124.0,3,91
2018,Kothanur,1847.0,3,110.0,3,146
2019,Ambedkar Nagar,1850.0,4,139.0,3,13
2020,Chikka Tirupathi,3297.0,3,135.0,3,57
2021,others,1187.0,2,45.0,2,230
2022,Bommasandra Industrial Area,1400.0,2,40.44,3,49
2023,Doddaballapur,3000.0,2,120.0,3,68
2024,Thanisandra,693.0,1,34.3,1,209
2025,KR Puram,1021.0,2,48.0,2,115
2026,Thigalarapalya,1165.0,2,95.0,2,210
2027,Horamavu Agara,1756.0,3,92.0,3,98
2028,Bharathi Nagar,1739.0,3,105.0,3,42
2029,Varthur,1280.0,2,65.0,2,217
2030,Marathahalli,1215.0,2,58.86,2,161
2031,Munnekollal,950.0,2,46.5,2,164
2032,Kengeri,1082.0,2,49.0,3,135
2033,Devanahalli,1080.0,2,53.35,2,65
2034,Arekere,1100.0,2,55.0,2,20
2035,Ardendale,3200.0,4,205.0,4,19
2036,Sarjapur  Road,1311.0,2,78.0,2,194
2037,Raja Rajeshwari Nagar,1608.0,3,67.98,3,184
2038,Begur Road,1160.0,2,36.0,2,39
2039,Whitefield,1170.0,2,71.0,2,224
2040,Kengeri,1155.0,2,40.6,2,135
2041,Rayasandra,1065.0,2,44.95,2,189
2042,Neeladri Nagar,674.0,1,21.0,1,173
2043,Ambedkar Nagar,1936.0,4,126.0,3,13
2044,others,1100.0,2,38.45,2,230
2045,Ramagondanahalli,2257.0,4,157.0,3,187
2046,Nagarbhavi,1055.0,2,55.0,2,169
2047,Raja Rajeshwari Nagar,1530.0,3,51.87,3,184
2048,others,1700.0,3,97.0,3,230
2049,Raja Rajeshwari Nagar,1575.0,2,78.0,3,184
2050,Rajiv Nagar,1263.0,2,93.32,2,186
2051,KR Puram,2186.5,3,69.315,3,115
2052,Kengeri Satellite Town,1043.0,2,65.0,2,136
2053,Hennur,1255.0,2,53.5,2,95
2054,JP Nagar,2002.5,2,93.865,2,109
2055,Yelahanka,1550.0,3,120.0,3,226
2056,others,1360.0,3,55.0,3,230
2057,others,1100.0,2,75.0,2,230
2058,8th Phase JP Nagar,1455.0,3,73.31,3,7
2059,KR Puram,1035.0,2,40.5,2,115
2060,Harlur,1152.0,2,69.0,2,91
2061,Bellandur,1299.0,2,82.0,2,40
2062,Rachenahalli,1050.0,2,52.5,2,183
2063,Pai Layout,1050.0,2,40.0,2,179
2064,Vittasandra,1246.0,2,67.4,2,223
2065,others,1929.0,3,115.0,3,230
2066,Hennur,1285.0,2,60.0,2,95
2067,Margondanahalli,1200.0,2,65.0,3,162
2068,others,3161.0,4,214.0,4,230
2069,Sompura,1025.0,2,37.0,3,203
2070,Malleshwaram,1124.0,3,80.0,2,160
2071,Balagere,1012.0,2,54.59,2,25
2072,8th Phase JP Nagar,871.0,2,55.0,2,7
2073,others,1020.0,2,40.0,2,230
2074,Rachenahalli,1550.0,3,73.5,3,183
2075,Akshaya Nagar,1410.0,2,80.0,3,11
2076,Chikka Tirupathi,3500.0,5,150.0,4,57
2077,Whitefield,1118.0,2,75.0,2,224
2078,Thanisandra,1098.0,2,68.0,2,209
2079,Kanakapura,1130.0,2,45.2,2,126
2080,Sarjapur  Road,1145.0,2,75.0,2,194
2081,others,1051.0,2,33.0,2,230
2082,Marathahalli,1102.0,2,53.67,2,161
2083,Hebbal,823.0,2,50.63,2,92
2084,Abbigere,880.0,2,35.0,2,10
2085,Budigere,1991.0,4,100.0,3,52
2086,TC Palaya,1100.0,3,50.0,3,207
2087,Gubbalala,1745.0,3,115.0,3,84
2088,others,1100.0,2,70.0,2,230
2089,5th Phase JP Nagar,1450.0,2,58.0,2,4
2090,Singasandra,3366.0,4,120.0,4,201
2091,Sahakara Nagar,1150.0,2,54.0,2,190
2092,Bommanahalli,1090.0,3,44.0,2,47
2093,Kaggadasapura,1132.0,2,42.0,2,118
2094,Hulimavu,1375.0,2,80.0,2,105
2095,Thanisandra,760.0,1,50.3,1,209
2096,Kaggadasapura,1180.0,2,65.0,2,118
2097,Jigani,918.0,2,45.0,2,113
2098,Margondanahalli,1200.0,1,53.0,2,162
2099,Ardendale,1728.0,3,95.0,3,19
2100,BTM 2nd Stage,1200.0,2,80.0,2,22
2101,6th Phase JP Nagar,1280.0,2,56.0,2,5
2102,others,1455.0,2,56.0,3,230
2103,Rachenahalli,440.0,1,28.0,1,183
2104,Kanakpura Road,1500.0,3,97.0,3,127
2105,Whitefield,1800.0,3,110.0,3,224
2106,Mysore Road,1525.0,3,96.0,3,166
2107,Rachenahalli,1204.0,2,38.5,2,183
2108,Old Madras Road,1225.0,2,53.55,2,177
2109,Bannerghatta Road,1650.0,3,122.0,3,34
2110,others,4200.0,4,255.0,4,230
2111,others,1200.0,2,55.0,2,230
2112,9th Phase JP Nagar,1005.0,2,42.0,2,8
2113,Whitefield,1562.0,3,103.0,3,224
2114,Devanahalli,5000.0,5,395.0,4,65
2115,Ramamurthy Nagar,1200.0,2,42.0,2,188
2116,Kasavanhalli,1555.0,3,82.5,3,130
2117,KR Puram,1550.0,2,71.0,2,115
2118,Whitefield,1190.0,2,67.0,2,224
2119,Chikkalasandra,1070.0,2,50.0,2,59
2120,Jalahalli East,1020.0,2,42.48,2,112
2121,Yelahanka,1610.0,3,115.0,3,226
2122,others,700.0,1,41.0,1,230
2123,others,1300.0,2,49.0,3,230
2124,Hebbal,1069.0,3,65.4,3,92
2125,Marathahalli,1900.0,3,123.0,3,161
2126,Old Airport Road,1655.0,2,97.65,2,176
2127,Uttarahalli,1155.0,2,40.42,2,216
2128,Sarjapur  Road,1300.0,2,70.0,3,194
2129,Electronic City,1100.0,2,45.0,2,74
2130,Doddathoguru,1030.0,2,42.0,2,70
2131,Vittasandra,2105.0,2,70.2,2,223
2132,Bhoganhalli,1700.0,3,126.0,3,43
2133,Jakkur,1760.0,3,139.0,3,110
2134,others,1400.0,2,67.0,2,230
2135,others,1200.0,2,53.0,2,230
2136,Bannerghatta Road,912.0,2,55.0,2,34
2137,Whitefield,1102.0,2,48.0,2,224
2138,others,1535.0,3,55.0,3,230
2139,Jigani,918.0,2,63.2,2,113
2140,Begur Road,1500.0,2,70.0,3,39
2141,Kasavanhalli,1476.0,3,89.0,3,130
2142,Mysore Road,1200.0,2,65.0,2,166
2143,Vijayanagar,606.0,1,34.78,1,220
2144,others,1100.0,2,61.0,2,230
2145,Garudachar Palya,1295.0,2,59.5,3,79
2146,Neeladri Nagar,527.0,1,26.0,1,173
2147,OMBR Layout,1300.0,2,80.0,2,175
2148,others,1260.0,1,41.0,1,230
2149,Koramangala,1140.0,2,75.2,2,144
2150,Whitefield,2321.0,4,128.0,3,224
2151,Sarjapur  Road,1390.0,2,62.0,2,194
2152,Sarjapur  Road,1725.0,3,90.0,3,194
2153,Hennur Road,1186.0,2,63.0,3,96
2154,Kanakpura Road,1230.0,2,85.0,2,127
2155,Yeshwanthpur,1313.0,3,96.0,3,229
2156,Ambalipura,1250.0,2,66.25,2,12
2157,Binny Pete,660.0,1,54.0,1,45
2158,Old Madras Road,1100.0,2,70.0,2,177
2159,Electronics City Phase 1,1015.0,2,56.0,2,76
2160,Gottigere,812.0,1,26.0,1,82
2161,others,1360.0,2,65.0,3,230
2162,Nehru Nagar,2167.0,3,170.0,3,174
2163,Raja Rajeshwari Nagar,1200.0,2,35.0,2,184
2164,others,1165.0,2,75.0,2,230
2165,BTM 2nd Stage,1274.0,2,70.0,2,22
2166,Raja Rajeshwari Nagar,1151.0,2,39.02,2,184
2167,Thubarahalli,1626.0,2,120.0,3,211
2168,Banashankari Stage V,1035.0,2,35.77,2,29
2169,others,1272.0,4,75.0,3,230
2170,others,965.0,2,45.0,2,230
2171,Kothannur,1070.0,2,42.79,2,145
2172,Raja Rajeshwari Nagar,1570.0,2,65.0,3,184
2173,others,780.0,2,25.0,2,230
2174,others,1000.0,2,65.0,3,230
2175,5th Phase JP Nagar,1700.0,2,100.0,3,4
2176,Haralur Road,1850.0,3,110.0,3,90
2177,Kereguddadahalli,904.0,2,30.0,2,137
2178,others,1121.0,2,43.72,2,230
2179,7th Phase JP Nagar,1385.0,2,58.17,3,6
2180,Sahakara Nagar,1270.0,2,69.85,2,190
2181,Kanakpura Road,1450.0,3,56.0,3,127
2182,Mahadevpura,730.0,1,35.0,1,156
2183,Raja Rajeshwari Nagar,1580.0,3,53.56,3,184
2184,Thanisandra,1111.0,2,50.0,2,209
2185,Varthur,977.0,2,36.0,2,217
2186,others,674.0,1,19.9,2,230
2187,Sarjapur,2540.0,4,115.0,4,193
2188,Jakkur,1290.0,2,100.0,2,110
2189,Abbigere,795.0,2,32.54,2,10
2190,Kanakpura Road,700.0,1,35.0,2,127
2191,others,1306.0,2,58.0,3,230
2192,others,2401.0,3,185.0,3,230
2193,Bommenahalli,1670.0,3,135.0,4,50
2194,others,1200.0,3,90.0,3,230
2195,Dodda Nekkundi,1804.0,3,121.0,3,67
2196,Hoskote,1225.0,3,40.0,3,103
2197,Thanisandra,1652.5,2,58.68,2,209
2198,Bellandur,900.0,2,56.0,2,40
2199,Binny Pete,1350.0,2,91.0,2,45
2200,Kaggalipura,700.0,1,36.0,1,119
2201,others,1160.0,2,46.39,2,230
2202,Hennur Road,1680.0,3,99.27,3,96
2203,LB Shastri Nagar,1043.0,2,55.0,2,151
2204,Hebbal,1040.0,2,46.0,2,92
2205,Tindlu,1357.0,2,65.0,3,213
2206,others,1225.0,2,47.0,2,230
2207,Yelachenahalli,1130.0,2,40.0,2,225
2208,Basavangudi,2500.0,4,150.0,4,35
2209,Sultan Palaya,1700.0,3,120.0,3,206
2210,Doddathoguru,1549.0,3,65.0,3,70
2211,Yeshwanthpur,1400.0,2,100.0,2,229
2212,Dodda Nekkundi,1080.0,2,50.0,2,67
2213,Abbigere,1005.0,2,39.59,2,10
2214,Whitefield,1320.0,2,95.0,2,224
2215,Anandapura,1475.0,2,50.0,4,15
2216,Kudlu Gate,2489.0,2,99.745,3,148
2217,others,1110.0,2,51.0,2,230
2218,others,1300.0,2,54.0,2,230
2219,Electronic City,1128.0,2,65.35,2,74
2220,Jakkur,1452.19,2,100.0,2,110
2221,Banashankari,2600.0,4,135.0,3,26
2222,Sanjay nagar,630.0,1,35.0,2,191
2223,Hosa Road,1243.0,2,48.5,2,101
2224,others,960.0,2,32.0,2,230
2225,others,1690.0,3,100.0,3,230
2226,Whitefield,735.0,2,35.0,2,224
2227,Banaswadi,1365.0,2,73.0,2,31
2228,Hebbal,1420.0,2,99.39,2,92
2229,Somasundara Palya,1570.0,3,68.0,3,202
2230,Bisuvanahalli,850.0,1,32.0,2,46
2231,7th Phase JP Nagar,1575.0,2,110.0,3,6
2232,Thigalarapalya,1418.0,2,104.0,2,210
2233,Uttarahalli,1050.0,2,42.0,2,216
2234,Ulsoor,1340.0,3,90.0,3,215
2235,Yelahanka New Town,1610.0,3,92.0,3,227
2236,Electronic City Phase II,1160.0,2,33.5,2,75
2237,Kudlu,1092.0,2,44.0,2,147
2238,Yelahanka,1455.0,3,61.5,3,226
2239,others,799.0,2,38.0,2,230
2240,Whitefield,1896.0,3,75.0,3,224
2241,Ardendale,1100.0,2,48.0,2,19
2242,Bellandur,1350.0,2,79.0,2,40
2243,others,1355.0,3,61.0,3,230
2244,others,1350.0,2,90.0,2,230
2245,Kasavanhalli,1493.0,3,82.0,3,130
2246,8th Phase JP Nagar,1098.0,2,43.91,2,7
2247,others,1460.0,3,88.0,3,230
2248,Varthur,1091.0,2,32.0,2,217
2249,Yelahanka,1180.0,2,42.0,2,226
2250,Kanakpura Road,1366.0,3,76.85,2,127
2251,others,1685.0,3,95.0,3,230
2252,Koramangala,1260.0,2,100.0,2,144
2253,Whitefield,3010.0,3,200.0,3,224
2254,Whitefield,1346.0,2,96.17,2,224
2255,Sarjapur  Road,2199.0,2,98.94,3,194
2256,7th Phase JP Nagar,1850.0,3,140.0,3,6
2257,Electronic City,755.0,1,34.0,2,74
2258,others,1194.0,2,46.0,2,230
2259,others,800.0,1,52.0,1,230
2260,Vijayanagar,1352.0,2,68.0,2,220
2261,Thanisandra,2002.0,3,112.0,3,209
2262,others,4000.0,5,280.0,4,230
2263,Kaval Byrasandra,1060.0,2,45.0,2,133
2264,Kanakpura Road,1419.59,2,59.0,3,127
2265,Raja Rajeshwari Nagar,1196.0,2,51.15,2,184
2266,Electronic City,1220.0,2,35.24,3,74
2267,Electronics City Phase 1,1595.0,3,75.0,3,76
2268,Banashankari,1260.0,2,75.0,2,26
2269,Hebbal,1100.0,2,47.0,2,92
2270,ISRO Layout,1180.0,2,52.0,2,106
2271,Electronic City,4000.0,5,150.0,4,74
2272,Akshaya Nagar,1662.0,3,85.0,3,11
2273,Ambedkar Nagar,1862.0,3,119.0,3,13
2274,Raja Rajeshwari Nagar,1419.0,2,48.0,2,184
2275,Whitefield,1410.0,3,43.71,3,224
2276,Raja Rajeshwari Nagar,1560.0,2,62.4,3,184
2277,Thanisandra,1634.0,3,78.0,3,209
2278,Whitefield,1150.0,2,44.0,3,224
2279,others,1100.0,2,53.0,2,230
2280,Yelahanka,1616.0,3,65.0,3,226
2281,Nagavarapalya,1392.0,2,99.0,2,172
2282,Jakkur,1798.0,3,120.0,3,110
2283,Babusapalaya,1675.0,3,75.0,3,24
2284,others,2000.0,4,103.0,5,230
2285,Hebbal,1700.0,3,124.0,3,92
2286,Hulimavu,1248.0,2,69.0,2,105
2287,others,1147.0,2,54.0,2,230
2288,Sultan Palaya,1100.0,2,40.0,2,206
2289,Vijayanagar,1527.0,3,115.0,3,220
2290,Kanakpura Road,525.0,1,25.0,1,127
2291,Kaggadasapura,1100.0,2,58.0,2,118
2292,Seegehalli,1118.0,2,37.5,2,198
2293,Kanakapura,1476.0,3,75.0,3,126
2294,others,2100.0,3,75.0,3,230
2295,others,1215.0,2,46.5,3,230
2296,Ambalipura,1332.0,2,79.0,2,12
2297,Hennur Road,1350.0,2,49.0,2,96
2298,NGR Layout,1105.0,2,49.73,2,167
2299,Kasavanhalli,1200.0,2,50.0,2,130
2300,Ramagondanahalli,1251.0,2,47.4,2,187
2301,Pai Layout,1400.0,2,67.0,3,179
2302,Hegde Nagar,1703.0,3,113.0,3,94
2303,NRI Layout,2500.0,5,130.0,5,168
2304,Varthur,1250.0,3,71.0,3,217
2305,Jigani,933.0,2,43.0,2,113
2306,others,461.82,1,31.7,1,230
2307,Brookefield,1262.0,2,75.0,2,51
2308,Yelahanka,915.0,2,48.0,2,226
2309,Panathur,1370.0,2,61.5,3,180
2310,Malleshpalya,1210.0,2,55.0,2,159
2311,others,1500.0,2,85.0,3,230
2312,others,1065.0,2,50.0,2,230
2313,Ramamurthy Nagar,1515.0,3,65.0,3,188
2314,Sarjapura - Attibele Road,1800.0,4,110.0,4,195
2315,Uttarahalli,1300.0,2,55.0,3,216
2316,Vijayanagar,989.0,2,60.0,2,220
2317,Jakkur,1300.0,2,85.0,2,110
2318,Marathahalli,1045.0,2,60.0,2,161
2319,others,1205.0,2,42.18,2,230
2320,others,1260.0,2,75.0,2,230
2321,Bommanahalli,1250.0,2,42.5,3,47
2322,others,1199.0,2,50.0,2,230
2323,Lakshminarayana Pura,1149.0,2,75.0,2,153
2324,Sarjapur  Road,2180.0,3,170.0,3,194
2325,Hulimavu,1818.0,3,135.0,3,105
2326,others,1070.0,2,33.0,2,230
2327,Nagarbhavi,1350.0,2,54.6,3,169
2328,Chandapura,630.0,1,27.0,2,55
2329,Hoodi,1430.0,2,113.0,2,97
2330,Nagavara,2430.0,4,180.0,3,171
2331,Sarjapur  Road,1084.0,2,55.0,2,194
2332,Hennur Road,1186.0,2,56.0,3,96
2333,Kengeri,1255.0,2,50.0,2,135
2334,Haralur Road,3400.0,5,240.0,4,90
2335,Hosa Road,1541.0,3,69.84,3,101
2336,Iblur Village,3596.0,5,282.0,4,107
2337,Raja Rajeshwari Nagar,1295.0,2,70.0,2,184
2338,7th Phase JP Nagar,1370.0,2,54.79,3,6
2339,Electronic City,1100.0,2,40.0,2,74
2340,JP Nagar,1200.0,2,62.0,2,109
2341,Gunjur,2000.0,3,95.0,4,85
2342,Sarjapur  Road,1220.0,3,62.0,3,194
2343,others,1950.0,3,130.0,3,230
2344,Somasundara Palya,1178.0,2,73.0,2,202
2345,Dasanapura,1286.0,3,61.44,3,63
2346,Begur Road,1160.0,2,42.0,2,39
2347,Jigani,918.0,2,55.0,2,113
2348,Electronic City,1563.0,3,91.84,3,74
